sn,Post Title,Author,Post Count,View Count,Time,Date,Section
0,Pastor Chris Oyakhilome  Biography - Life History And Profile,nicholasis,15,104284,2:30pm,"Apr 16, 2018",EntertainmentDB
1,#mbgn2017 Most Beautiful Girl In Nigeria Watch,24naija,3,2713,2:29pm,"Apr 16, 2018",EntertainmentDB
2,Igbo Girls Wins MBGN From Kebbi..1st..2nd..3rd,redness,13,3522,2:28pm,"Apr 16, 2018",EntertainmentDB
3,Mercy Johnson Biography & Her True Life Stories,chapatti,7,7628,2:27pm,"Apr 16, 2018",EntertainmentDB
4,Fan Writes Open Letter To D’banj On 10th Anniversary,Tobilastik,9,3006,2:26pm,"Apr 16, 2018",EntertainmentDB
5,Full List:winner's Of Nea Awards 2017,akelicious,4,1786,2:25pm,"Apr 16, 2018",EntertainmentDB
6,How Can Married And Old Women Fall For This Madness Called One Corner Dance,kabakaauu,22,4935,2:09pm,"Apr 16, 2018",EntertainmentDB
7,[MUST READ] My Unforgettable Experience At A Strip Club In Abuja,Gistboy120,22,8117,2:08pm,"Apr 16, 2018",EntertainmentDB
8,"Bishop David Oyedepo Biography,life History And Early Life",nicholasis,13,20574,2:06pm,"Apr 16, 2018",EntertainmentDB
9,Nigerian Entertainment Awards (NEA) 2017 Full List Of Winners,rusellweb,65,29963,2:04pm,"Apr 16, 2018",EntertainmentDB
10,Photos:seating Arrangements For Grammy Awards 2018,actiondrilling,6,1606,2:03pm,"Apr 16, 2018",EntertainmentDB
11,Tourists Mesmerized As Nollywood Takes Over Hollywood,AmuDimpka,3,419,2:01pm,"Apr 16, 2018",EntertainmentDB
12,Court Halts Lagos Beauty Pageant,akelicious,2,234,2:00pm,"Apr 16, 2018",EntertainmentDB
13,Guinness Record Holder Woman With The Smallest Waist,Slimfitgen,15,9980,1:59pm,"Apr 16, 2018",EntertainmentDB
14,A Nigeria Female Corper Dance To Olamide Shaku Shaku Music,Johnnyessence,13,2053,1:59pm,"Apr 16, 2018",EntertainmentDB
