sn,Post Title,Author,Post Count,View Count,Time,Date,Section
0,Wonders Of Science.,ogaemma,218,59560,8:53pm,"Apr 12, 2018",Science
1,Science Section LIBRARY,johnydon22,5,16302,9:54am,"Mar 23, 2016",Science
2,Scientists Develops “suicide Machine” That Anyone Can Use In Killing Self (pic),BrainnewsRadio,2,2,3:14pm,"Apr 17, 2018",Science
3,Ubaka & Atikpo Chukwuebuka Patrick Invent OGANIHU C² Bitter Leaf Washing Machine,ariesbull,81,23883,3:06pm,"Apr 17, 2018",Science
4,Convert Your Unwanted Or Used Items Into Cash With This App,Lonestar2018,2,34,1:23pm,"Apr 17, 2018",Science
5,Download Over 120 Graphic Design Video Tutorials,legalwebconsult,21,607,1:21pm,"Apr 17, 2018",Science
6,9k Facebook Page And 17k Facebook Dating Group Are For Sale,derprince,3,50,1:11pm,"Apr 17, 2018",Science
7,Japanese Engineer Builds Giant Robot To Realize ‘gundam’ Dream,Itzpetersv,6,143,1:08pm,"Apr 17, 2018",Science
8,"Gospel Music Icon, Funmilayo Olubunmi Fadahuns Get Acj’s Award",sparcklin,0,8,12:11pm,"Apr 17, 2018",Science
9,Adobe Photoshop CC 18.0 (2017) Free Download,nayyeralee,0,10,12:09pm,"Apr 17, 2018",Science
10,NASA Starts Preparation For Mars Mission In May,DivinedeGuru,0,10,12:08pm,"Apr 17, 2018",Science
11,"Webuy.ng - We Buy Your Smart Devices for instant cash (Laptop, Phone, Tab etc)",WeBuyNG,35,936,11:53am,"Apr 17, 2018",Science
12,Twitter Account With Over 270k Followers For Sale,shotster50,8,158,9:58am,"Apr 17, 2018",Science
13,"Technology Will Grow Faster With Right Politics, Says Onyekwere, Nigeria’s ‘fath",technative,0,11,9:50am,"Apr 17, 2018",Science
14,How To Read Your GF OR Bf's Whatsapp Messages Without Them Knowing.,supernova094,0,36,9:23am,"Apr 17, 2018",Science
15,Outlook PST Repair Tool,daleswindell,11,477,8:43am,"Apr 17, 2018",Science
16,"Brand New And Decommissioned Towers Available Nationwide 30m, 35m,40m 45m, 55,60",gwmlogistic,82,2160,7:42am,"Apr 17, 2018",Science
17,Download Dream League Soccer 2019 DLS 19 Apk + MOD Free,prolifekits,0,27,7:31am,"Apr 17, 2018",Science
18,How To Maintain A Laptop,Crizillion1,0,21,7:28am,"Apr 17, 2018",Science
19,How To Create A Locally Made Inverter With Ease,ceejay80s,4271,232689,5:24am,"Apr 17, 2018",Science
20,$1 Million Up For Grabs At African Entrepreneurship Award 2018,technative,2,49,2:40am,"Apr 17, 2018",Science
21,Thread For Solar System/Electricity Owners in Nigeria.,SycophanticGoat,657,48340,8:00pm,"Apr 16, 2018",Science
22,Download Gbwhatsapp APK Latest Version 6.60 2018 For Android,prolifekits,2,383,7:17pm,"Apr 16, 2018",Science
23,Social Media Marketing Videos and Ebooks,silasweb,77,1709,4:36pm,"Apr 16, 2018",Science
24,Step By Step Guide On Gas Production From Your Domestic Waste...,ArchiPelago1,2,88,4:33pm,"Apr 16, 2018",Science
25,Science & Tech Whatsapp Group,kuljoe4,77,2977,3:46pm,"Apr 16, 2018",Science
26,"New Paint That Will Power Your Home, In Markets Soon",VcStunner,0,55,3:42pm,"Apr 16, 2018",Science
27,Complete Digital Marketing Tutorial (Ebooks and Free Videos),silasweb,113,2704,3:34pm,"Apr 16, 2018",Science
28,Repair Of Rechargeable Fan And Make It Last 15hours,admindim,104,8433,3:27pm,"Apr 16, 2018",Science
29,Berlinlasers 980nm Infrared Laser Diode Module Review,aicnien,0,28,3:11pm,"Apr 16, 2018",Science
30,Digital And Social Media Marketing For Business Growth,silasweb,50,1352,2:51pm,"Apr 16, 2018",Science
31,GSMA Launches Global Mobile Money Certification Scheme For Safer Financial Servi,technative,0,34,8:58am,"Apr 16, 2018",Science
32,How To Hack Any Android Device In 2 Minutes REAL!!!,Funxclusive,0,87,8:55am,"Apr 16, 2018",Science
33,Nitda’s Capacity Building Train Berths In Jigawa,technative,0,35,8:45am,"Apr 16, 2018",Science
34,Automatic Fire Suppression System - Fm200,klasys,19,840,8:44am,"Apr 16, 2018",Science
35,Clean LG 50 Inch Slim TV For Sale,Henryciroma,0,85,8:28am,"Apr 16, 2018",Science
36,"IP Access Control System - Network Based.,",klasys,16,523,8:21am,"Apr 16, 2018",Science
37,Universe As Seen From Indian Space Observatory,nemesis4u,13,257,7:27am,"Apr 16, 2018",Science
38,South Tucson HVAC,DoraZinil,0,28,6:56am,"Apr 16, 2018",Science
39,Hidden Facebook Messenger Tricks You Need To Know,HotnaijaMarket,0,72,3:42am,"Apr 16, 2018",Science
40,NITDA Trains 111 Women On ICT,rmo19,0,41,10:56pm,"Apr 15, 2018",Science
41,Adobe Premiere Pro CC 2017 Full Crack Download,crackjunkie9,0,42,9:42pm,"Apr 15, 2018",Science
42,Chidi Okoro For Governor Imo State,sparcklin,0,53,9:23pm,"Apr 15, 2018",Science
43,Trillions Upon Trillions Of Viruses Fall From The Sky Each Day,HoldenCaulfield,0,74,8:50pm,"Apr 15, 2018",Science
44,Free Airtime,Prudent2019,0,66,7:57pm,"Apr 15, 2018",Science
45,Temperature Humidity Sensor For Server Room Equipment Monitoring,klasys,21,1023,4:18pm,"Apr 15, 2018",Science
46,Solar Full Charged,ganagagi,0,63,3:41pm,"Apr 15, 2018",Science
47,I Buy And Sell Any Type Of Inverter Ba3.,abusondoko,140,4665,3:13pm,"Apr 15, 2018",Science
48,Zemana Antimalware Premium 2.74 Crack Free Download,nayyeralee,0,44,1:54pm,"Apr 15, 2018",Science
49,Synthesia 10.4.4395 Full Crack,crackjunkie9,0,48,1:50pm,"Apr 15, 2018",Science
50,11 Tech Things We Did Back Then That Seem So Freaking Weird Now,obotblitz,15,404,1:24pm,"Apr 15, 2018",Science
51,Pantera Capital Predicts Record BTC Prices Within 12 Months,nadeemktk,0,50,12:48pm,"Apr 15, 2018",Science
52,We Buy Your Dead(scrap) Laptops Here In Lagos,Kunleforreal,358,11515,10:38am,"Apr 15, 2018",Science
53,Facebook Has Spent $20m On Zuckerberg’s Security Since 2015,ybtcnews,0,85,9:34am,"Apr 15, 2018",Science
54,Server Room Equipment & Environmental Monitoring Systems,KlasysTech,10,561,8:41am,"Apr 15, 2018",Science
55,Paste Me Your USA Itunes Gift Card's Of Big Denominations,WFblacc,0,50,5:20am,"Apr 15, 2018",Science
56,How To Design Your Smart System Solutions,kayboid,6,159,11:46pm,"Apr 14, 2018",Science
57,Self-powered (fuelless) Generator Design,DIYTechnologies,79,67433,8:39pm,"Apr 14, 2018",Science
58,"How To Earn Unlimited Free MTN, Glo, 9mobile & Airtel Airtime 2018 Cheat",prolifekits,0,179,6:52pm,"Apr 14, 2018",Science
59,Kmsauto Net 2018 V1.5.3 Windows Activator Portable,shafaqatpc123,0,60,12:03pm,"Apr 14, 2018",Science
60,Kmsauto Net 2018 Windows & Office Activator Portable,anasrajpoot44,2,59,11:32am,"Apr 14, 2018",Science
61,Kmsauto Net 2018 Windows & Office Activator V1.5.3 Portable,serialkeypro123,0,55,11:32am,"Apr 14, 2018",Science
62,Kmsauto Net 2018 Windows & Office Activator,softwares12121,0,55,11:31am,"Apr 14, 2018",Science
63,World’s First Electrified Road For Charging Vehicles Opens In Sweden,Itzpetersv,0,125,11:01am,"Apr 14, 2018",Science
64,Wonders Of Science.,ogaemma,218,59560,8:53pm,"Apr 12, 2018",Science
65,Enjoy 2GB Data At N1000 Free On Airtel Smarttrybe,Montelent,0,107,10:01am,"Apr 14, 2018",Science
66,Sme Data @ Cheapest Price!!!,Treasuresphere,236,12122,9:07am,"Apr 14, 2018",Science
67,"How To Install Whatsapp On PC, Complete Tutorial",alan123,180,14907,9:03am,"Apr 14, 2018",Science
68,Server Room & Data Center Environmental Monitoring Systems,KlasysTech,9,629,8:32am,"Apr 14, 2018",Science
69,Server Room Temperature & Environmental Monitoring Systems-,KlasysTech,12,606,8:25am,"Apr 14, 2018",Science
70,Server Room & Data Center Environmental Monitoring Systems,KlasysTech,7,513,8:24am,"Apr 14, 2018",Science
71,Get Your Software Developed From The Scratch!!!,ilekky,2,486,7:48am,"Apr 14, 2018",Science
72,How To Build A Quadcopter,RCDIY,222,28125,7:36am,"Apr 14, 2018",Science
73,Special Training On Sage/peachtree Accounting Software At Affordable Price,ilekky,3,247,7:17am,"Apr 14, 2018",Science
74,.,Henryciroma,2,110,4:19am,"Apr 14, 2018",Science
75,How You Can Handle Windows 10 Updates,Omokowa,0,71,12:09am,"Apr 14, 2018",Science
76,Promo: Internal Laptop Harddrive For Sale,rushman003,3,80,9:08pm,"Apr 13, 2018",Science
77,Instagram’s Update Feature Allows Users Download Their Photos And Videos,askifa1,0,80,7:36pm,"Apr 13, 2018",Science
78,Electric Highway Opens In Sweden With Pictures,matthew84,6,133,7:09pm,"Apr 13, 2018",Science
79,Please Help A Brother,fiischer,0,78,7:01pm,"Apr 13, 2018",Science
80,Berlinlasers Green Laser Line Generator With 10-110°glass Lens,aicnien,0,66,3:43pm,"Apr 13, 2018",Science
81,Opportunities For Broadband In Nigeria Are Hampered By Greed And Lack Of Patriot,technative,0,69,2:37pm,"Apr 13, 2018",Science
82,How To Increase Your Twitter Followers In No Time With This New Trick.,supernova094,0,88,12:58pm,"Apr 13, 2018",Science
83,Apple Unlock Code Generator 4.0 - Get Rid Of Simlock,JohnSosna,0,80,12:28pm,"Apr 13, 2018",Science
84,Solar Battery Charging Decresing,ganagagi,2,96,11:20am,"Apr 13, 2018",Science
85,IDM 6.30 Build 6 Crack + Patch,crackjunkie9,0,59,10:44am,"Apr 13, 2018",Science
86,Why You Must Learn The Accounting Software Packages?,ilekky,3,406,9:12am,"Apr 13, 2018",Science
87,Uses And Applications Of The Bomb Calorimeter,sethmarila,0,68,8:27am,"Apr 13, 2018",Science
88,World's First Electrified Road For Charging Vehicles Opens In Sweden,Fucktensei,3,145,6:36am,"Apr 13, 2018",Science
89,"Want To Sell Your Used Inverter, UPS Batteries?",QuickStandard,39,2305,11:58pm,"Apr 12, 2018",Science
90,Turn Your Used Inverter/ups Batteries Into MONEY!!,QuickStandard,20,970,11:56pm,"Apr 12, 2018",Science
91,Tips On Getting Good Inverters And UPS Batteries. (don't Be A Victim),QuickStandard,12,792,11:55pm,"Apr 12, 2018",Science
92,Sell Your Used Inverter Batteries Today At Quickstandard,QuickStandard,11,346,11:54pm,"Apr 12, 2018",Science
93,.,ERORR404,4,107,10:28pm,"Apr 12, 2018",Science
94,Understanding The Art Of Social Media Marketing From My Point Of View.,justseyi,0,62,10:02pm,"Apr 12, 2018",Science
95,CCTV And Intercom Installations In Warri,fxsoft,0,77,9:17pm,"Apr 12, 2018",Science
96,Help On Solar Panel Charging,ganagagi,3,134,9:09pm,"Apr 12, 2018",Science
97,Inverter And Solar Panel Solution To Nigeria Electricity Failure,dreamnaira,115,41685,7:43pm,"Apr 12, 2018",Science
98,An Update On Human Settlement In Mars,Speedo17,0,109,6:49pm,"Apr 12, 2018",Science
99,Business Plan Writing And Empowerment In ICT INDUSTRY,Suftel,0,62,6:24pm,"Apr 12, 2018",Science
100,Two Young Anambra-based Inventors Construct Bitter Leaf Washing Machine,Lothario,3,160,5:24pm,"Apr 12, 2018",Science
101,EU Parliament Orders Mark Zuckerberg To Appear..,GentleMoney,2,73,3:46pm,"Apr 12, 2018",Science
102,Learn Oracle SQL In 5 Days,AlzCorp,0,69,3:06pm,"Apr 12, 2018",Science
103,Apple Pay Upgrade!,BEG96,0,54,1:29pm,"Apr 12, 2018",Science
104,"50% Discount For All, Don't Miss This Opportunity, It Is For Real!!!",dgrconsultltd,2,131,9:48am,"Apr 12, 2018",Science
105,Steps To Find Out If Your Facebook Data Was Passed To Cambridge Analytica,mosky360,0,75,9:22am,"Apr 12, 2018",Science
106,Crazy World,thinkmoney,0,69,9:22am,"Apr 12, 2018",Science
107,Initial Coin Offering (ICO) Script For Sale - Build Your Own Crypto Currency,Alanroy,43,1608,8:27am,"Apr 12, 2018",Science
108,"All Types Of Php Scripts (P2P, Ponzi,mlm,hyi.p,btc,crypto,sms And More) For Sale",ictwebssolution,51,1599,9:54pm,"Apr 11, 2018",Science
109,BP Teams Up With Tesla To Venture Into Battery Storage For Windfarm,Itzpetersv,0,65,9:31pm,"Apr 11, 2018",Science
110,Up To 30% Discounts Off Xantra Advanced Inverters And Solar Panels In Nigeria.,pscindustries,0,65,6:36pm,"Apr 11, 2018",Science
111,Simple Method To Unlock Android Phone Password Or Pattern Lock | Latest Trick,flashtrendblog,3,159,4:56pm,"Apr 11, 2018",Science
112,How To Unblock Yourself From Someone’s Whatsapp Account/latest Trick(2018/2019),flashtrendblog,0,132,4:52pm,"Apr 11, 2018",Science
113,Berlinlasers Green Laser Line Generator With 10-110°glass Lens,aicnien,0,62,3:01pm,"Apr 11, 2018",Science
114,Nubrella:  Hands-free Umbrella,Anuoluwap,81,18994,2:20pm,"Apr 11, 2018",Science
115,FAKE ‘chrome Download’ Link Tries To Install Adware And Malware,sainttobs,0,64,1:44pm,"Apr 11, 2018",Science
116,EML To PST Converter,markduley0007,17,1163,10:51am,"Apr 11, 2018",Science
117,"We Buy Scrap,used,abandoned And Dead Laptops And Pay Cash",itpreneurng,10,455,9:53am,"Apr 11, 2018",Science
118,Best Odds Winnings And Publication,EJAWEMOKIE,0,88,9:09am,"Apr 11, 2018",Science
119,Become An IT Accountant With Accounting Software Packages And Earn Big!!!,ilekky,8,571,3:47am,"Apr 11, 2018",Science
120,Apple Now Runs On 100% Renewable Energy,sainttobs,0,93,2:32am,"Apr 11, 2018",Science
121,TSTV Sassy Decoders Now On Sale!!!,Naruto87,0,220,11:43pm,"Apr 10, 2018",Science
122,Opera News: Get Up To N500 Free Airtime On Opera News,Montelent,0,153,11:37pm,"Apr 10, 2018",Science
123,Innovation For A Smarter World At ITU Telecom World 2018,technative,0,83,6:15pm,"Apr 10, 2018",Science
124,Learn How To Use Cryptocurrency (bitcoin) To Make Lots Of Money,tundehq,33,1302,5:11pm,"Apr 10, 2018",Science
125,Worldremit Partners With Lebara To Connect New Customers To Its Money Transfer S,technative,0,75,3:54pm,"Apr 10, 2018",Science
126,Youtube Has Been Hacked & Lots Of Videos Deleted,sainttobs,0,116,3:53pm,"Apr 10, 2018",Science
127,"Drake's ""Gods Plan,"" ""Despacito,"" & More Vandalized In Youtube Hack",hiphopza,2,112,3:51pm,"Apr 10, 2018",Science
128,Get A Free Website From Narv Technologies - Short Time Promo - 07067862215,narvtechnologie,2,76,3:50pm,"Apr 10, 2018",Science
129,How To Check If Your Facebook Information Was Shared With Cambridge Analytica,lotusbeta,2,102,3:49pm,"Apr 10, 2018",Science
130,For Sales.  Nvidia Geforce GTX 1060 6G DDR5 Graphics Card,engreddy,0,87,3:44pm,"Apr 10, 2018",Science
131,Tech: The Pioneering Engineer Behind A $1.3 Billion Startup Is Leaving Because H,Jonifech,2,182,2:29pm,"Apr 10, 2018",Science
132,Artlantis Studio 6.5 With Serial Number Free Download [latest],nomercy7337,5,1198,2:26pm,"Apr 10, 2018",Science
133,Free Web Design Training On Whatsapp - Html & Css - 07067862215,ayomidejohnson,0,85,2:13pm,"Apr 10, 2018",Science
134,I Am New To Internet And Want To Make Money Lets Talk Here!,photolisting,2,104,1:45pm,"Apr 10, 2018",Science
135,"Nigeria, Nigcomsat – Beware Of China’s Sri Lankan Tea",technative,0,93,1:43pm,"Apr 10, 2018",Science
136,APC Functionaries Want Corruption Accusations Against Communications Minister In,technative,0,67,1:00pm,"Apr 10, 2018",Science
137,All your Inverter problems,sunnym,408,80281,10:51am,"Apr 10, 2018",Science
138,Researchers Are Spying On Your Tweets,clementy117,3,112,10:17am,"Apr 10, 2018",Science
139,Small Generator To Power A Fridge,gentlekaycy,0,141,9:30am,"Apr 10, 2018",Science
140,"Facebook Prototype Found, Utangsocial Is Fast Gaining Relevance",IamEtefia,0,93,9:27am,"Apr 10, 2018",Science
141,China To Force Rain/snow To Fall Over An Area Twice The Size Of Nigeria,laidelaitan,9,201,9:01am,"Apr 10, 2018",Science
142,Learn How To Rat (njrat With Full Tutorial)!!!,Cryptingservice,6,342,8:25am,"Apr 10, 2018",Science
143,"IP Access Control System - Network Based,",cctvwizard,5,306,6:52am,"Apr 10, 2018",Science
144,"African Boy Manufactures Caterpillar,Photos Go Viral(pics)",rem44,9,851,6:38am,"Apr 10, 2018",Science
145,Winrar 5.50 Incl Crack + Patch 32 Bit & 64 Bit Free Download,serialkeypro123,0,59,6:33am,"Apr 10, 2018",Science
146,Winrar 5.50 Incl 32 Bit & 64 Bit + Crack + Patch,anasrajpoot44,0,48,6:30am,"Apr 10, 2018",Science
147,Winrar 5.50 Incl 32 Bit & 64 Bit + Crack + Patch,softwares12121,0,52,6:30am,"Apr 10, 2018",Science
148,Building Management System (bms),klasys,18,2372,6:25am,"Apr 10, 2018",Science
149,Need Support For Ntel Products And Services? Hit Me Up Here!!!!,ntelassist,83,1881,4:44pm,"Apr 09, 2018",Science
150,How To Check If Your Facebook Data Was Improperly Shared,MOst3xC3LL3Nt,0,73,3:52pm,"Apr 09, 2018",Science
151,Berlinlasers Green Cross Laser Alignment With Long Line Length,aicnien,0,57,3:45pm,"Apr 09, 2018",Science
