sn,Post Title,Author,Post Count,View Count,Time,Date,Section
0,Prospective NYSC 2018 Batch A Corps Members,juniorboy,1807,95800,12:22am,"Apr 14, 2018",NYSCDB
1,Your NYSC Questions Answered,Darkchocolate,4292,345528,6:07pm,"Apr 13, 2018",NYSCDB
2,NYSC 2016 Batch A States' Of Deployment Library,CrazyMan,0,60953,2:46am,"Apr 22, 2016",NYSCDB
3,NYSC Library,CrazyMan,2,64247,2:26pm,"Sep 11, 2014",NYSCDB
4,NYSC Batch A 2018 Printing Of Call Up Letter.,Bifrost,421,36464,12:48am,"Apr 14, 2018",NYSCDB
5,NYSC 2017 Batch A Corps Members House,chumaster,26627,589349,11:42pm,"Apr 13, 2018",NYSCDB
6,NYSC Members Now To Be Posted To Farms — Coordinator,Mowunmiaf,106,15212,11:29pm,"Apr 13, 2018",NYSCDB
7,"Rochas Okorocha Gives N10,000 To Corpers Who Passed Out Today In Imo State",PrettyCrystal,84,46779,11:01pm,"Apr 13, 2018",NYSCDB
8,Getting A Job After Nysc: How Long Is Too Long?,JARUSHUB,96,9987,10:55pm,"Apr 13, 2018",NYSCDB
9,"[updated] Nysc 2018 Latest Important Updates, advice, information And Assistance",youngnerd,17,991,10:27pm,"Apr 13, 2018",NYSCDB
10,NYSC: Nigeria has a high number of graduates who lack basic common sense,jikins,8,191,9:28pm,"Apr 13, 2018",NYSCDB
11,My NYSC Experience In Kano State,mrphysics,673,77777,9:07pm,"Apr 13, 2018",NYSCDB
12,#5000 Complete Camp Kits | NYSC Batch A 2018,CorpaMarket,32,2156,8:53pm,"Apr 13, 2018",NYSCDB
13,2016 Nysc Batch A Posted To Benue Stream I And Ii,DTOBS,263,17226,8:49pm,"Apr 13, 2018",NYSCDB
14,A Lifetime Opportunity For Everyone To Be Self Employed,excellgraphics,69,5115,8:48pm,"Apr 13, 2018",NYSCDB
15,Is Abia State That Bad For Nysc? #crying#,Yahayablessing,46,951,8:48pm,"Apr 13, 2018",NYSCDB
16,Prospective NYSC 2017 Batch B Corps Members,segunk1,5839,178166,8:47pm,"Apr 13, 2018",NYSCDB
